administration,State,start_PC_PI,end_PC_PI,dif_PC_PI,start_PC_DPI,end_PC_DPI,dif_PC_DPI,start_PC_PCE,end_PC_PCE,dif_PC_PCE,vote,presidental_party,US_start_PC_PI,US_end_PC_PI,US_dif_PC_PI,US_start_PC_DPI,US_end_PC_DPI,US_dif_PC_DPI,US_start_PC_PCE,US_end_PC_PCE,US_dif_PC_PCE,PC_PI_dif,PC_DPI_dif,PC_PCE_dif
Obama,North Dakota,40186,51298,11112,36878,46154,9276,33073,43092,10019,Republican,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,1445,1892,3024
Obama,Oklahoma,35835,42053,6218,32982,38058,5076,27008,32268,5260,Republican,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,-3449,-2308,-1735
Obama,Oregon,35286,45467,10181,31784,39294,7510,30958,37857,6899,Democrat,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,514,126,-96
Obama,Rhode Island,40588,48515,7927,36857,42746,5889,34118,39819,5701,Democrat,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,-1740,-1495,-1294
Obama,South Carolina,31973,40752,8779,29460,36518,7058,28588,34964,6376,Republican,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,-888,-326,-619
Obama,South Dakota,39435,48284,8849,36885,43858,6973,30309,37565,7256,Republican,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,-818,-411,261
Obama,Texas,37234,45868,8634,34410,41506,7096,29593,36755,7162,Republican,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,-1033,-288,167
Obama,Utah,31796,41295,9499,28956,36513,7557,26763,33009,6246,Republican,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,-168,173,-749
Obama,Vermont,40358,48827,8469,37041,43613,6572,36954,43651,6697,Democrat,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,-1198,-812,-298
Obama,Washington,41679,54296,12617,38458,48087,9629,34437,41933,7496,Democrat,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,2950,2245,501
